Planet Name,Planet Radius (Earth),Planet Mass (Earth),Orbital Distance (AU),Star Temperature (K),Habitability Label
HAT-P-8 b,16.81,483.08,0.0487,6200.0,0
HAT-P-9 b,15.69,247.9,0.053,6350.0,0
HAT-P-9 b,15.614137,238.05467,0.05287,6350.0,0
HAT-P-9 b,15.46842,247.27174,0.0529,6350.0,0
HAT-P-9 b,15.6926,241.86863,0.0529,6350.0,0
HATS-1 b,14.594,589.55,0.0444,5870.0,0
HATS-1 b,14.594118,556.2025,0.04446,5870.0,0
HATS-10 b,10.861521,185.93055,0.04493,5880.0,0
HATS-10 b,10.861521,167.17858,0.04491,5880.0,0
HATS-11 b,16.92559,270.1555,0.04614,6060.0,0
HATS-12 b,15.13215,756.4354,0.04795,6408.0,0
HATS-13 b,13.585308,172.58169,0.04057,5523.0,0
HATS-13 b,13.585308,188.15536,0.04059,5523.0,0
HATS-14 b,11.646151,340.39593,0.03815,5346.0,0
HATS-14 b,11.646151,339.76027,0.03815,5346.0,0
HATS-15 b,12.385945,689.6911,0.02712,5311.0,0
HATS-16 b,14.5717,1039.3041,0.03744,5738.0,0
HATS-17 b,8.709393,425.25654,0.1308,5846.0,0
HATS-18 b,14.986433,629.3034,0.01761,5600.0,0
HATS-18 b,14.896761,629.144485,0.0174,5600.0,0
HATS-2 b,13.092112,486.2799,0.02298,5227.0,0
HATS-2 b,13.092,427.463,0.023,5227.0,0
HATS-22 b,10.682177,870.8542,0.05025,4803.0,0
HATS-23 b,20.84874,467.2101,0.03397,5780.0,0
HATS-24 b,15.636555,718.2958,0.0238,6125.0,0
HATS-24 b,16.667783,775.5052,0.02547,6346.0,0
HATS-25 b,14.12334,194.82979,0.05163,5715.0,0
HATS-26 b,19.61575,206.5895,0.04735,6071.0,0
HATS-27 b,16.8135,168.4499,0.0611,6438.0,0
HATS-28 b,13.383546,213.58176,0.04131,5498.0,0
HATS-29 b,14.022459,207.54299,0.05475,5670.0,0
HATS-3 b,15.48,340.382,0.0485,6351.0,0
HATS-3 b,15.479629,340.39593,0.0485,6351.0,0
HATS-3 b,15.479629,349.613,0.04852,6351.0,0
HATS-30 b,13.170575,224.38798,0.04354,5943.0,0
HATS-31 b,18.38276,279.6904,0.0478,6050.0,0
HATS-32 b,14.000041,292.4036,0.04024,5700.0,0
HATS-33 b,13.78707,378.85336,0.03727,5659.0,0
HATS-34 b,16.02887,299.07803,0.03166,5380.0,0
HATS-35 b,16.409976,388.38826,0.03199,6300.0,0
HATS-36 b,13.843115,1022.14128,0.05425,6149.0,0
HATS-37 A b,6.792654,31.46517,0.04913,5326.0,0
HATS-38 b,6.882326,23.51942,0.05036,5732.0,0
HATS-39 b,17.59813,200.2329,0.06007,6572.0,0
HATS-4 b,11.43318,416.03947,0.03623,5403.0,0
HATS-4 b,11.433,420.471,0.0362,5403.0,0
HATS-40 b,17.71022,505.3497,0.04997,6460.0,0
HATS-41 b,14.90797,3082.951,0.0583,6424.0,0
HATS-42 b,15.6926,597.5204,0.03689,6060.0,0
HATS-43 b,13.22662,82.95363,0.04944,5099.0,0
HATS-44 b,11.960003,177.9848,0.03649,5080.0,0
HATS-45 b,14.414774,222.481,0.05511,6450.0,0
HATS-46 b,10.121727,54.98459,0.05367,5495.0,0
HATS-47 b,12.520453,117.27927,0.04269,4512.0,0
HATS-48 A b,8.9672,77.23269,0.03769,4546.0,0
HATS-49 b,8.574885,112.19399,0.04515,4405.0,0
HATS-5 b,10.223,75.323,0.0542,5304.0,0
HATS-5 b,10.222608,75.64354,0.05428,5304.0,0
HATS-50 b,12.66617,123.9537,0.05046,5990.0,0
HATS-51 b,15.80469,244.09344,0.04639,5758.0,0
HATS-52 b,15.490838,711.9392,0.02498,6010.0,0
HATS-53 b,15.02006,189.10885,0.04753,5644.0,0
HATS-54 b,11.37711541,239.32479047,0.037,5621.0,0
HATS-54 b,11.960003,241.5508,0.03763,5702.0,0
HATS-55 b,14.022459,292.72143,0.05412,6214.0,0
HATS-56 b,18.920792,191.33366,0.06043,6536.0,0
HATS-57 b,12.767051,1000.21101,0.03493,5587.0,0
HATS-58 A b,12.273855,327.3649,0.05798,7175.0,0
HATS-59 b,12.621334,256.17098,0.06112,5670.0,0
HATS-6 b,11.186582,101.38777,0.03623,3724.0,0
HATS-60 b,12.923977,210.40346,0.04708,5688.0,0
HATS-61 b,13.394755,1080.622,0.07908,5542.0,0
HATS-62 b,11.825495,56.89157,0.04163,5416.0,0
HATS-63 b,13.529263,305.1168,0.04026,5627.0,0
HATS-64 b,18.819911,305.1168,0.06562,6554.0,0
HATS-65 b,16.824709,260.93843,0.04497,6277.0,0
HATS-66 b,15.815899,1694.0339,0.04714,6626.0,0
HATS-67 b,18.887165,460.8535,0.03032,6594.0,0
HATS-68 b,13.809488,410.0007,0.05071,6147.0,0
HATS-69 b,10.592505,183.38791,0.03211,5137.0,0
HATS-7 b,6.310667,39.09309,0.04012,4985.0,0
HATS-7 b,6.310667,38.1396,0.04012,4985.0,0
HATS-70 b,15.513256,4100.007,0.03632,7930.0,0
HATS-71 b,11.478016,117.5971,0.03745,3405.0,0
HATS-72 b,8.0973816,39.855882,0.066517,4656.1,0
HATS-74 A b,11.56766808,464.02947422,0.02384,3776.9,0
HATS-75 b,9.90873894,156.05374784,0.032742,3790.4,0
HATS-76 b,12.09449018,835.570882,0.02658,4016.0,0
HATS-77 b,13.05846252,436.69623122,0.03607,4071.0,0
HATS-8 b,9.785457,43.86054,0.04667,5679.0,0
HATS-8 b,9.785457,46.08535,0.04668,5679.0,0
HATS-9 b,11.937585,266.02371,0.03048,5366.0,0
HATS-9 b,11.937585,261.57409,0.03048,5366.0,0
HD 100546 b,77.3421,2701.5414595,53.0,10500.0,0
